"Ciudad","Alimentos y bebidas no alcohólicas","Bebidas alcohólicas y tabaco","Prendas de vestir y calzado","Alojamiento, agua, electricidad, gas y otros combustibles","Muebles, artículos para el hogar y para la conservación ordinaria del hogar","Salud","Transporte","Información y comunicación","Recreación y cultura","Educación","Restaurantes y hoteles","Bienes y servicios diversos"
"Arauca",-0.893242874978535,-1.49170381753668,-1.21284730357437,-0.187501191122044,-0.765951287147929,-0.125062256633579,-1.34408829122398,-0.438464529333501,-0.757957574142866,-1.02832100444213,-0.413887786916696,-0.778491387568067
"Armenia",1.41114336674722,-0.317263237722069,1.33978201556772,0.137351210838951,1.20885501945111,0.434313749849581,0.691669368179472,0.965569518814427,1.63181751604864,0.528710817565864,0.552798169179001,1.38060188982505
"Barrancabermeja",-1.14592975803473,0.551373343682594,-0.644431531230352,1.07427499282879,-0.491340879694503,-0.752697327974451,-0.0935818953626274,0.292479039621042,-0.566821438182604,0.966586164681178,-0.519877702132849,-0.693591954761734
"Barranquilla",-0.183744986449261,-0.774835142241093,-0.837465823417195,0.785821227764849,0.114857198587348,-0.85942019169445,0.27533202856228,0.132707634053672,-0.651845615435042,0.503810115069595,0.101590855232961,-0.36818765387732
"Bogotá",1.35572421414138,0.255022540192338,1.77413122914127,2.71855422838174,2.52321665678933,2.74521652660369,2.31339465541169,2.38193592538099,2.83002077297357,3.9439692690703,2.21065058808912,3.57233339372894
"Bucaramanga y A.M.",2.40007873651309,-0.0742564552025988,0.0341459758209638,1.87502361806624,1.33529739941757,0.823817198786173,0.978385579622834,1.04394509155587,0.871085583631823,0.7850723452694,1.96053918358799,0.741939254346935
"Buenaventura",-1.06947665885427,-0.292607295946804,0.552695831472968,-1.42391917778853,-0.809827573355056,-0.397006643543614,-0.370080751976715,-1.2153180440056,-0.421705360658829,-1.15069729214938,-0.605178682550616,-0.352862916467123
"Cali",0.26589491258259,0.312056473775156,0.818567399925369,0.632125756512742,1.80569721107471,1.38672064576196,0.729132630427273,1.10685365205288,1.58213458500056,0.695139270202449,0.94717408262828,0.868256885962097
"Cartagena",0.600563423498022,0.676826003483309,-0.219006893546165,0.552565557772182,-0.246154832611958,-0.373467989275905,0.494123992308773,-0.226854770886418,-0.697427811782582,-0.423486295414318,-0.0993447210723302,-0.640023780563305
"Cúcuta y A.M.",0.196847261530757,-0.768346121398035,-0.531168444263631,-0.336547037758586,-0.241324506956861,-0.473443537421969,-0.312673796310785,-0.199443425312859,-0.118872864791447,-0.790484371345553,0.18245339993245,-0.257985861423205
"Florencia",-1.27613898009376,-0.403297160681639,-0.480853583521364,-0.87982957751359,-0.528917000181956,-0.754766345790845,-0.245633691793097,-0.416848881861236,-1.06200613319049,-0.948150512681097,-1.09320596379393,-0.57166778418605
"Ibagué",-0.192329890225416,-1.11275168516199,-0.348867449876889,0.26440130867906,0.263190381638343,1.09352619550006,0.175362693758751,0.665004869770425,0.123349500186757,0.0541331019133153,-0.167105968208302,0.562881557112489
"Inírida",-1.86090800129818,2.7387419098844,-0.673893768202702,-1.1420766038881,-0.864550818308345,-0.482839161823739,-1.49091074224649,-1.75655740860099,-0.0489396864144993,1.47024626963169,-0.893223183253676,-0.637615884576292
"Leticia",-0.0591310738609401,-0.581527267366257,-1.66751251124475,-0.446949899456158,-1.348625093222,-1.38692629010549,-1.40518988801783,-0.572188593287258,-0.974157351692288,0.232749129181963,-0.390544311605538,-1.23131402721487
"Manizales y A.M.",1.30078542565425,0.516295822844336,1.77160077916701,0.901449349737165,1.46428099939385,0.934721973813977,1.54332728596564,1.52160465588179,1.62547854409831,0.725323585236192,0.266831090149324,1.47159488826522
"Medellín y A.M.",0.962819580895142,0.108123442523598,1.68729027282438,1.427575667409,1.02349923149693,1.48967901201404,1.39605616778302,1.48355607354737,2.25753732332816,0.930523335479901,0.483199514864001,1.39880879676421
"Mitú",0.549245732866942,-1.28219066796058,-1.52794263100973,-1.57220691243515,-1.58095702674117,-1.46919005434848,-1.6168328892352,-1.5561544062791,-0.833747734447896,-1.00459468691944,-0.892811174394772,-0.693031732739682
"Mocoa",-1.04171669777013,1.75723561370305,-0.0153087756826071,-0.873934440326462,-0.694788119727105,0.419617591485391,-0.675928871833811,-0.14087127005329,-0.98319851273318,-0.307285513539006,0.0318999006472185,-0.675518050045514
"Montería",-0.710630339299127,0.102268692624786,0.151647994691543,-0.393876966756918,-0.407368611681403,-1.10802677459202,-0.521450441347988,-0.721539261720806,-0.518617204471967,-0.336597632097435,-0.884781058088262,-0.955847719624023
"Neiva",-0.436583094851801,-0.298931790696828,-0.0747435279945562,0.380628635213701,0.999279377243344,0.229609259544134,0.678781664188606,0.766200219718295,0.0842153460374397,0.490738188676371,0.786421690624533,0.482554752530999
"Pasto",0.234716356520889,-0.901584999976662,0.0787032332743445,-0.0112761773151367,1.22098945874064,0.917817302458957,0.340990604540073,0.134225160984013,0.027358942496908,0.322496526068976,0.338932322188478,0.810588265712077
"Pereira y A.M.",0.910752052140768,-0.853870293898562,1.04508227132445,0.386398165941824,0.301000361786293,0.0563612222810139,0.293228658196288,0.760974277652137,0.765287766670241,0.393518134416858,-0.17242900101682,0.192631782223767
"Popayán",0.69329094449607,0.663712237230945,-0.215041832293226,0.00972557800920586,-0.245874641861552,1.1345544846749,-0.223084194807554,0.0581036108867185,-0.361857546572783,-0.619911169448446,-0.0250211666285271,-0.177388864426531
"Puerto Carreño",-0.893733475039233,-1.08054654834787,-1.09520211485348,-0.852148413089488,-0.138451767296332,-0.928910764736485,-1.26990400588002,-0.989315991276943,-0.167748404498533,-0.384468493680373,-0.655487824366001,-0.406646969496335
"Quibdó",-0.752680340475111,-0.897795660866168,0.150536180555002,-1.21685417459018,-1.26053319179614,-1.27251605583419,-1.10591383893405,-0.624330260783797,-1.10285308851232,-1.65663654220441,-1.55677349477073,-0.934122902568935
"Riohacha",-0.523856359595249,-0.00615149228771739,-0.338598916539283,-0.913661783326311,-0.268190167265307,-0.642128653433663,-0.459342658136304,-0.638997350658519,-0.311230500340123,-0.638040110944463,-0.799594697486422,-0.473397077042143
"Rionegro",0.773164742478534,-0.64866400441924,0.697504428529986,0.939117121987939,-0.791022464218409,0.0385665275289418,2.1956651646727,1.00928466134061,0.450103331456152,-0.472298765122971,-0.564139465637422,-0.515610579705914
"San Andrés",0.746547107803503,0.640196922037772,1.58762068890006,1.1041741458815,0.00255914276817968,-0.994324226973507,0.511499679108229,0.794594394095167,0.619804952517784,0.0539074574200197,3.02136833681474,-0.0649870162058464
"San José del Guaviare",-1.10140438460696,0.220871335114476,0.229473608974465,-0.918584510777653,0.564172518235069,0.448209705210303,-1.20722777098819,-0.608381826123268,-0.098660787798368,0.251570208572708,-0.0408352769889299,-0.237885267452116
"Santa Marta",-0.340348624635502,-0.530886990627125,-1.22668759420364,-0.274379453638624,-1.43083921534995,-1.20772215706943,-0.53424372042469,-0.900802584223354,-0.959285311247589,-0.776533795265743,-0.739735598418304,-0.852490513300279
"Sincelejo",-0.837649799130724,0.133348217423862,-0.709027235755562,-0.502195210862107,-0.13771894215987,-0.0202696055827991,-0.227655836870943,-0.611859801864434,-0.6620485056904,-0.481195055053483,-0.675440808681406,-0.407200026782016
"Soledad",-0.283128728666793,-0.489922219292442,-2.09762916069979,-0.841012218871604,-1.45842487221496,-1.17154195178525,-0.318064442883588,-1.44659593211931,-1.31504022165597,-1.28146134673088,-0.498969358677838,-1.31470678498841
"Tumaco",1.5144974110548,-0.0377273601310089,-0.394487120338351,-1.67784465166326,-0.916555347299006,-0.48531531183809,-1.17966123326311,-1.81926461685321,-1.08298640349214,-0.800205679644164,-0.876155780068601,-0.60634085381433
"Tunja",1.01006765899819,-0.152904631014778,1.03295005801572,1.07507801237088,0.968511875531215,1.84873932983196,1.53580775639675,1.24840053402395,0.77931907043942,0.749102145172004,0.726256537008747,1.66917157266628
"Valledupar",-0.896778165827227,0.940297123899152,-0.575746719429619,-0.235112467771582,-0.716796583624675,-0.274067888205608,-0.256269798204191,-0.37174205717988,-1.08103507264626,-0.292478238690267,-0.786132740116926,-0.996205603595079
"Villavicencio",1.23125255955074,0.735279224350065,1.21320685284339,0.786075217244275,0.913256686803204,1.02565949253811,0.870633187140826,0.727470606314689,0.720874027744836,-0.0444052173751286,1.62471728949681,0.849824760046784
"Yopal",-0.309987707718688,3.29693067521147,1.0648543268001,0.461829421402705,0.803507501164284,0.500194114778174,0.0246867293058956,0.750791927261383,0.224560418346921,1.08349113346166,1.20454436667958,0.791609815750118
"Yumbo",-1.34799154606124,-0.650814735205176,-0.343330210151483,-0.812258347091268,-0.167958077406937,-0.347681143997789,-0.190339085827943,-0.588170840531643,0.185095449420673,-0.743835474341759,-1.08870156224834,0.0503235974901491
